secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
247,89,109,1.09929,17.084,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.93,8.02953,4.90047
248,89,109,1.1041,17.0799,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.7,12.92,7.97164,4.94836
249,89,109,1.10891,17.0826,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.7,12.92,7.97164,4.94836
250,91,109,1.11374,17.0795,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.7,12.92,7.97164,4.94836
251,91,110,1.11856,17.0803,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.5,12.92,7.9458,4.9742
252,90,111,1.12337,17.0809,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.92,7.91996,5.00004
253,90,111,1.12819,17.077,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.92,7.91996,5.00004
254,90,110,1.13301,17.0733,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.92,7.8812,5.0388
255,90,110,1.13783,17.0699,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.92,7.8812,5.0388
256,89,109,1.14265,17.0695,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.8,12.93,7.86144,5.06856
257,89,108,1.14746,17.0745,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.8,12.93,7.86144,5.06856
258,89,108,1.15227,17.0738,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.9,12.93,7.87437,5.05563
259,89,109,1.15613,17.0785,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.9,12.93,7.87437,5.05563
260,89,109,1.16094,17.0774,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.93,7.8873,5.0427
261,88,110,1.16577,17.0774,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.93,7.8873,5.0427
262,88,110,1.17059,17.0737,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.93,7.92609,5.00391
263,88,110,1.17539,17.0749,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.93,7.92609,5.00391
264,88,110,1.18022,17.0806,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.8,12.93,7.99074,4.93926
265,88,109,1.18505,17.0831,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.8,12.93,7.99074,4.93926
266,88,107,1.18985,17.0819,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.94,8.07456,4.86544
267,88,106,1.19468,17.0834,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.94,8.07456,4.86544
268,89,107,1.19949,17.0802,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.94,8.10044,4.83956
269,90,107,1.20432,17.0811,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.94,8.10044,4.83956
270,90,107,1.20913,17.0863,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.94,8.11338,4.82662
271,89,108,1.21396,17.0913,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.94,8.11338,4.82662
272,89,108,1.21782,17.0951,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.5,12.94,8.0875,4.8525
273,90,109,1.22264,17.0995,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.5,12.94,8.0875,4.8525
274,90,109,1.22747,17.1008,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.3,12.94,8.06162,4.87838
275,90,109,1.23228,17.0956,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.3,12.94,8.06162,4.87838
276,91,109,1.2371,17.0937,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.3,12.94,8.06162,4.87838
277,91,108,1.24192,17.0982,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.9,12.94,8.00986,4.93014
278,92,107,1.24677,17.0995,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.5,12.95,7.96425,4.98575
279,91,106,1.25159,17.0945,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.5,12.95,7.96425,4.98575
280,91,105,1.25641,17.0897,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.1,12.95,7.91245,5.03755
281,91,105,1.26122,17.0852,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.1,12.95,7.91245,5.03755
282,90,107,1.26604,17.0829,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.95,7.8995,5.0505
283,91,108,1.27086,17.0789,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61,12.95,7.8995,5.0505
284,92,109,1.27568,17.0769,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.2,12.95,7.9254,5.0246
285,92,109,1.27953,17.0786,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.2,12.95,7.9254,5.0246
286,91,109,1.28436,17.0757,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.95,7.9772,4.9728
287,91,109,1.28917,16.9934,0,37,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.95,7.9772,4.9728
288,91,110,1.29393,16.9138,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.95,8.0549,4.8951
289,87,110,1.2987,16.9232,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.95,8.0549,4.8951
290,87,110,1.30349,16.9385,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.94,8.07456,4.86544
291,86,110,1.30826,16.9499,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.94,8.07456,4.86544
292,86,111,1.31304,16.9597,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
293,90,111,1.31785,16.9633,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
294,89,111,1.32261,16.9696,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.93,7.92609,5.00391
295,89,111,1.32741,16.9791,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.3,12.93,7.92609,5.00391
296,90,112,1.33219,16.9825,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.7,12.93,7.84851,5.08149
297,91,113,1.33699,16.994,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.7,12.93,7.84851,5.08149
298,91,113,1.34083,17.0027,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.93,7.77093,5.15907
299,90,113,1.34564,17.0046,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.93,7.77093,5.15907
300,92,112,1.35043,16.9717,0,24,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.7,12.92,7.71324,5.20676
301,92,111,1.35517,16.6793,0,4,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.7,12.92,7.71324,5.20676
302,92,112,1.35983,16.2388,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.8,12.93,7.73214,5.19786
303,0,111,1.36434,15.8046,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.8,12.93,7.73214,5.19786
304,0,111,1.36874,15.3847,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,12.95,7.77,5.18
305,0,111,1.37302,14.9791,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,12.95,7.77,5.18
306,0,112,1.37719,14.586,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.97,7.79497,5.17503
307,0,111,1.38125,14.2056,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.97,7.79497,5.17503
308,0,111,1.3852,13.8374,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.98,7.80098,5.17902
309,0,111,1.38905,13.4801,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.98,7.80098,5.17902
310,0,110,1.39282,13.1317,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,13,7.8,5.2
311,0,103,1.39575,12.8622,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,13,7.8,5.2
312,0,104,1.39933,12.5325,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.5,13.01,7.74095,5.26905
313,0,104,1.40282,12.2122,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.5,13.01,7.74095,5.26905
314,0,105,1.40622,11.9004,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.2,13.01,7.70192,5.30808
315,0,106,1.40954,11.5964,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.2,13.01,7.70192,5.30808
316,0,108,1.41277,11.2995,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.3,13.01,7.71493,5.29507
317,0,109,1.41591,11.0121,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.3,13.01,7.71493,5.29507
318,0,108,1.41897,10.7302,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,13.02,7.82502,5.19498
319,0,107,1.42197,10.4545,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,13.02,7.82502,5.19498
